"site_no","dateTimeHour","streamflow_cms"
"0137462010","2011-08-31 00:00:00",8.0844464
"0137462010","2011-08-31 01:00:00",7.2349424
"0137462010","2011-08-31 02:00:00",6.3783592
"0137462010","2011-08-31 03:00:00",5.66336
"0137462010","2011-08-31 04:00:00",5.0120736
"0137462010","2011-08-31 05:00:00",4.3395496
"0137462010","2011-08-31 06:00:00",3.751976
"0137462010","2011-08-31 07:00:00",3.1927192
"0137462010","2011-08-31 08:00:00",2.68230888
"0137462010","2011-08-31 09:00:00",2.18464112
"0137462010","2011-08-31 10:00:00",1.77404752
"0137462010","2011-08-31 11:00:00",1.46327064
"0137462010","2011-08-31 12:00:00",1.2494788
"0137462010","2011-08-31 13:00:00",1.12417696
"0137462010","2011-08-31 14:00:00",1.04630576
"0137462010","2011-08-31 15:00:00",1.00807808
"0137462010","2011-08-31 16:00:00",1.00807808
"0137462010","2011-08-31 17:00:00",1.00807808
"0137462010","2011-08-31 18:00:00",1.00807808
"0137462010","2011-08-31 19:00:00",1.00807808
"0137462010","2011-08-31 20:00:00",1.00807808
"0137462010","2011-08-31 21:00:00",1.00807808
"0137462010","2011-08-31 22:00:00",1.00807808
"0137462010","2011-08-31 23:00:00",1.00807808
"0137462010","2011-09-01 00:00:00",1.00807808
"0137462010","2011-09-01 01:00:00",1.00807808
"0137462010","2011-09-01 02:00:00",1.00807808
"0137462010","2011-09-01 03:00:00",1.00807808
"0137462010","2011-09-01 04:00:00",1.00807808
"0137462010","2011-09-01 05:00:00",1.00807808
"0137462010","2011-09-01 06:00:00",1.00807808
"0137462010","2011-09-01 07:00:00",1.00807808
"0137462010","2011-09-01 08:00:00",1.00807808
"0137462010","2011-09-01 09:00:00",1.00807808
"0137462010","2011-09-01 10:00:00",1.00807808
"0137462010","2011-09-01 11:00:00",1.00807808
"0137462010","2011-09-01 12:00:00",1.00807808
"0137462010","2011-09-01 13:00:00",1.00807808
"0137462010","2011-09-01 14:00:00",1.00807808
"0137462010","2011-09-01 15:00:00",1.00807808
"0137462010","2011-09-01 16:00:00",1.00807808
"0137462010","2011-09-01 17:00:00",1.00807808
"0137462010","2011-09-01 18:00:00",1.00807808
"0137462010","2011-09-01 19:00:00",1.00807808
"0137462010","2011-09-01 20:00:00",1.00807808
"0137462010","2011-09-01 21:00:00",1.00807808
"0137462010","2011-09-01 22:00:00",1.00807808
"0137462010","2011-09-01 23:00:00",1.00807808
"0137462010","2011-09-02 00:00:00",1.00807808
"0137462010","2011-09-02 01:00:00",1.00807808
"0137462010","2011-09-02 02:00:00",1.00807808
"0137462010","2011-09-02 03:00:00",1.00807808
"0137462010","2011-09-02 04:00:00",1.00807808
"0137462010","2011-09-02 05:00:00",1.00807808
"0137462010","2011-09-02 06:00:00",1.00807808
"0137462010","2011-09-02 07:00:00",1.00807808
"0137462010","2011-09-02 08:00:00",1.00807808
"0137462010","2011-09-02 09:00:00",1.00807808
"0137462010","2011-09-02 10:00:00",1.00807808
"0137462010","2011-09-02 11:00:00",1.00807808
"0137462010","2011-09-02 12:00:00",1.00807808
"0137462010","2011-09-02 13:00:00",1.00807808
"0137462010","2011-09-02 14:00:00",1.00807808
"0137462010","2011-09-02 15:00:00",1.00807808
"0137462010","2011-09-02 16:00:00",1.00807808
"0137462010","2011-09-02 17:00:00",1.00807808
"0137462010","2011-09-02 18:00:00",1.00807808
"0137462010","2011-09-02 19:00:00",1.0017068
"0137462010","2011-09-02 20:00:00",1.00807808
"0137462010","2011-09-02 21:00:00",1.00807808
"0137462010","2011-09-02 22:00:00",1.00807808
"0137462010","2011-09-02 23:00:00",1.00807808
"0137462010","2011-09-03 00:00:00",1.00807808
"0137462010","2011-09-03 01:00:00",1.00807808
"0137462010","2011-09-03 02:00:00",1.00807808
"0137462010","2011-09-03 03:00:00",1.00807808
"0137462010","2011-09-03 04:00:00",1.00807808
